time	peer	dir	hex	kind	name	detail
2026-09-18T01:08:05.864	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:08:05.877	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:08:05.877	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:08:05.887	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:08:05.887	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:08:05.895	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:08:05.895	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:08:05.905	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:08:05.905	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:08:05.917	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:08:05.919	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:08:05.922	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:08:05.922	processor:33714	tx	90 50 01 0F 04 00 FF	reply		
2026-09-18T01:08:05.939	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:08:05.939	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:08:05.949	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:08:05.949	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:08:05.956	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:08:05.956	processor:33714	tx	90 50 01 04 FF	reply		
2026-09-18T01:08:08.966	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:08:08.966	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:08:08.983	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:08:08.983	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:08:08.995	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:08:08.995	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:08:09.009	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:08:09.009	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:08:09.017	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:08:09.017	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:08:09.028	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:08:09.028	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:08:09.039	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:08:09.039	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:08:09.044	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:08:09.044	processor:33714	tx	90 50 01 0F 04 00 FF	reply		
2026-09-18T01:08:09.060	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:08:09.060	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:08:09.068	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:08:09.068	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:08:09.077	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:08:09.077	processor:33714	tx	90 50 01 04 FF	reply		
2026-09-18T01:08:12.069	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:08:12.069	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:08:12.085	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:08:12.085	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:08:12.093	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:08:12.093	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:08:12.104	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:08:12.104	processor:33714	tx	90 50 00 FF	reply		
